TripID;TaxiID;MonthS;DayS;YearS;Start_time;MonthE;DayE;YearE;End_time;New_Start_Time;New_End_time;Trip_Minutes;;;;;;;;;;;;;;;;;;;
7672a7a78de27fd12c858c227f587ca60cb7d9bd;hhh;4;22;2016;9:45;4;22;2016;9:45;9:45;9:53;480;1.2;17031281900;17031839100;28;32;7.00;0.00;0.00;1.50;$8.50;Cash;;41.879.255.084;-87.642.648.998;POINT (-87.642649 41.879255);41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);29
7672fc79997287468f5635e6349b1c8ebf3c0e59;hhh;4;22;2016;9:15;4;22;2016;9:15;9:15;9:20;300;0.9;17031081401;17031081800;8;8;5.50;0.00;0.00;0.00;$5.50;Cash;Taxi Affiliation Services;4.189.503.345;-87.619.710.672;POINT (-87.619711 41.895033);4.189.321.636;-8.763.784.421;POINT (-87.637844 41.893216);37
767384f5b99378fa6f4a719a4b71ee48e2a7962d;iii;4;22;2016;11:45;4;22;2016;12:00;11:52;11:58;360;0.8;17031081403;17031839100;8;32;5.50;0.00;0.00;1.00;$6.50;Cash;;41.890.922.026;-87.618.868.355;POINT (-87.618868 41.890922);41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);37
7674b4e5450b39e1cbeb3adbfc6149500c600276;iii;4;22;2016;13:45;4;22;2016;13:45;13:45;13:54;540;0;17031081600;17031081000;8;8;6.75;0.00;0.00;0.00;$6.75;Cash;Taxi Affiliation Services;41.892.072.635;-87.628.874.157;POINT (-87.628874 41.892073);41.900.265.687;-8.763.210.922;POINT (-87.632109 41.900266);37
7674c8a9e5d41ccc401700564548fd2f1e614fe2;iii;4;22;2016;4:45;4;22;2016;5:00;4:52;5:00;480;1.6;;;24;24;7.75;0.00;0.00;0.00;$7.75;Cash;Taxi Affiliation Services;41.901.206.994;-87.676.355.989;POINT (-87.676356 41.901207);41.901.206.994;-87.676.355.989;POINT (-87.676356 41.901207);25
76752e0bd53e6ba98d25bb659ebc0805a3731737;iii;4;22;2016;3:00;4;22;2016;3:15;3:00;3:11;660;3.8;;;5;3;12.50;0.00;0.00;0.00;$12.50;Cash;Dispatch Taxi Affiliation;41.947.791.586;-87.683.834.942;POINT (-87.683835 41.947792);4.196.581.197;-87.655.878.786;POINT (-87.655879 41.965812);46
76779cc305a8283ce31ecf2c39ae61097f6c6fde;iii;4;22;2016;18:15;4;22;2016;18:30;18:17;18:21;240;0;17031080201;17031842200;8;8;5.50;0.00;0.00;0.00;$5.50;Cash;Taxi Affiliation Services;41.909.495.669;-87.630.963.601;POINT (-87.630964 41.909496);41.904.935.302;-87.649.907.226;POINT (-87.649907 41.904935);37
767896287d935ddc118613d9f5efb94684b44353;iii;4;22;2016;15:15;4;22;2016;15:15;15:20;15:29;540;0;17031833000;17031839100;28;32;7.25;3.00;0.00;0.00;$10.25;Credit Card;Taxi Affiliation Services;4.188.528.132;-876.572.332;POINT (-87.657233 41.885281);41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);29
767a00b1927ecce2f34352256dff9edbdb07c0e7;iii;4;22;2016;14:15;4;22;2016;14:30;14:25;14:33;480;0.9;;;;;6.75;0.00;0.00;0.00;$6.75;Cash;;;;;;;;
767a5fb0e843e2ac2f476c2c5e527807c47ac903;jjj;4;22;2016;10:30;4;22;2016;10:45;10:35;10:49;840;1.9;17031839100;17031081201;32;8;9.75;1.50;0.00;0.00;$11.25;Credit Card;KOAM Taxi Association;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.899.155.613;-87.626.210.532;POINT (-87.626211 41.899156);38
767c036ee3059a510edd465d489811ce26b7ceed;jjj;4;22;2016;20:45;4;22;2016;20:45;20:55;20:59;240;1;;;6;4;5.75;0.00;0.00;1.00;$6.75;Cash;Taxi Affiliation Services;41.944.226.601;-87.655.998.182;POINT (-87.655998 41.944227);41.975.170.943;-87.687.515.515;POINT (-87.687516 41.975171);57
767cb39f7a37448a1cc9a0472a51b0efe771ce7c;jjj;4;22;2016;0:45;4;22;2016;1:00;0:50;1:09;1140;5.2;;;7;77;16.75;3.55;0.00;1.00;$21.30;Credit Card;;41.922.686.284;-87.649.488.729;POINT (-87.649489 41.922686);419.867.118;-87.663.416.405;POINT (-87.663416 41.986712);68
767ce6852b543c13578ddba04f5b198526d16005;jjj;4;22;2016;6:00;4;22;2016;6:15;6:03;6:04;60;0;;;4;4;3.25;0.00;0.00;0.00;$3.25;Cash;;41.975.170.943;-87.687.515.515;POINT (-87.687516 41.975171);41.975.170.943;-87.687.515.515;POINT (-87.687516 41.975171);6
